Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
1/24/22,78,72,89,98,74,57,97,82,25920,31980,6060,6720,11370,7830,37,81,930,15960,2022-01-23T23:09:03-05:00,2022-01-24T08:02:03-05:00,51.14,46,60,-0.25,-0.09,12.125,51,100,100,1,1,9,5,2046,112,52,2640,26940,240,0,0,56580,1.125,0,81,82,65,None,94,96,88,80,100
1/26/22,70,61,64,97,69,70,83,73,22920,29160,6240,4890,10950,7080,26,79,540,12660,2022-01-26T00:21:04-05:00,2022-01-26T08:27:04-05:00,52.14,46,60,-0.41,-0.14,11.625,51,100,100,1,1,7,25,2074,509,398,3240,29700,1440,0,0,52020,1.125,0,73,69,64,None,94,91,96,80,34
1/27/22,72,65,66,96,67,67,97,70,24030,30720,6690,5010,12090,6930,35,78,870,14340,2022-01-27T00:00:00-05:00,2022-01-27T08:32:00-05:00,51.12,45,64,-0.11,-0.06,11.625,51,100,100,1,1,8,54,2131,1086,789,6540,28440,2700,180,0,48540,1.15625,0,80,72,63,None,95,100,88,82,100
1/28/22,70,69,71,96,65,53,91,50,25200,32640,7440,5370,13080,6750,43,77,1080,16680,2022-01-28T00:00:56-05:00,2022-01-28T09:04:56-05:00,51.17,45,62,-0.06,0.03,11.75,55,100,100,1,1,36,354,2559,4048,5560,15180,28560,15360,2280,0,25020,1.375,0,77,69,64,None,95,100,100,83,56
1/29/22,68,71,56,90,79,52,97,31,25530,30720,5190,4290,15300,5940,46,83,840,14580,2022-01-29T01:13:02-05:00,2022-01-29T09:45:02-05:00,53.64,48,67,-0.19,0.06,12.125,55,100,100,1,1,33,3,2033,90,19,1560,31020,240,0,0,53580,1.09375,0,77,66,65,98,98,99,69,85,79
1/30/22,70,79,75,97,72,53,75,27,27660,34500,6840,5700,14520,7440,40,80,360,16110,2022-01-30T00:56:59-05:00,2022-01-30T10:31:59-05:00,50.98,46,69,0.04,0.13,12,66,100,100,1,40,79,445,2530,1258,6508,16200,36360,4560,60,1800,27420,1.34375,0,83,69,69,None,98,100,96,87,100
1/31/22,71,71,58,97,83,63,67,59,25650,30120,4470,4410,14190,7050,34,85,180,14700,2022-01-31T00:16:01-05:00,2022-01-31T08:38:01-05:00,53.55,49,66,-0.08,0.14,12.125,65,100,100,1,40,73,34,2077,608,594,2460,28440,960,300,0,54240,1.125,0,79,70,70,81,96,100,70,87,94
2/1/22,64,72,48,74,44,59,97,38,25770,37680,11910,3720,17160,4890,39,68,930,17490,2022-02-01T00:10:59-05:00,2022-02-01T10:38:59-05:00,52.6,48,64,-0.22,0.07,12,64,100,100,1,40,63,38,2074,842,538,5700,41580,2880,60,0,36180,1.09375,0,80,59,71,None,99,97,80,87,100
2/2/22,70,77,66,49,76,57,75,78,27300,33480,6180,5010,19020,3270,39,82,390,16110,2022-02-01T23:14:01-05:00,2022-02-02T08:32:01-05:00,52.08,47,62,0.01,0.09,12,61,100,95,1,40,52,38,2106,684,457,12360,31980,2040,120,0,39900,1.125,1,82,69,74,None,100,100,80,87,100
2/3/22,67,72,84,81,67,64,20,70,25890,33300,7410,6360,14220,5310,32,78,2880,16890,2022-02-02T23:16:16-05:00,2022-02-03T08:31:16-05:00,50.58,44,57,-0.12,0.09,11.75,60,100,100,1,40,40,34,2102,621,524,4200,24720,1980,60,0,55440,1.15625,0,79,64,75,None,98,100,100,85,53
