,Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score,Unnamed: 1,Unnamed: 2,Basal Body Temperature (degF),Flights Climbed (count),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Step Count (count),Walking + Running Distance (mi) 
21,2022-01-18,61.0,62.0,38.0,69.0,81.0,51.0,78.0,49.0,6.45,27780.0,4560.0,0.8166666666666667,15720.0,4560.0,47,84.0,420.0,13170.0,1.0,8.72,50.84,46.0,64.0,-0.25,-0.05,12.0,61,100,100,1,40,49,9,2079,210,127,960,17700,780,0,0,66960,1.15625,0,79.0,55.0,67.0,None,92,96.0,96.0,83.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
22,2022-01-20,69.0,77.0,95.0,92.0,72.0,45.0,46.0,51.0,7.575,33900.0,6630.0,1.9916666666666667,14040.0,6060.0,38,80.0,2070.0,16860.0,-0.08,9.33,51.8,47.0,55.0,-0.3,-0.08,12.375,58,100,100,1,40,28,72,2191,1483,750,16860,32100,4920,120,0,32400,1.1875,0,80.0,68.0,69.0,None,96,95.0,88.0,79.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
23,2022-01-21,54.0,59.0,33.0,74.0,55.0,51.0,48.0,47.0,6.258333333333334,30840.0,8310.0,0.7083333333333334,15090.0,4890.0,45,73.0,2010.0,15480.0,0.45,9.02,50.81,47.0,60.0,-0.25,-0.07,11.875,57,100,100,1,40,19,38,2095,735,611,4980,28860,2220,180,0,50160,1.125,0,75.0,44.0,65.0,None,95,96.0,88.0,79.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
24,2022-01-22,64.0,64.0,60.0,73.0,55.0,58.0,99.0,40.0,6.575,32400.0,8730.0,1.2833333333333334,14250.0,4800.0,35,73.0,900.0,15060.0,0.78,9.78,52.07,47.0,61.0,-0.22,-0.04,12.25,51,100,100,1,1,8,25,2073,492,373,4980,31500,1500,120,0,48300,1.125,0,76.0,60.0,62.0,None,95,97.0,88.0,79.0,97.0,,,,11.0,46,112,70.51,,5922,4.98
25,2022-01-23,66.0,68.0,55.0,98.0,65.0,56.0,83.0,38.0,6.925,32280.0,7350.0,1.1583333333333334,12960.0,7800.0,43,77.0,540.0,16170.0,0.53,9.5,51.24,47.0,63.0,-0.36,-0.07,12.125,52,100,100,1,1,11,91,2170,1851,1278,8220,35820,5880,300,0,36180,1.15625,0,77.0,63.0,63.0,None,94,93.0,88.0,80.0,92.0,,,,11.0,46,112,70.51,,5922,4.98
26,2022-01-24,78.0,72.0,89.0,98.0,74.0,57.0,97.0,82.0,7.2,31980.0,6060.0,1.8666666666666667,11370.0,7830.0,37,81.0,930.0,15960.0,-0.85,8.03,51.14,46.0,60.0,-0.25,-0.09,12.125,51,100,100,1,1,9,5,2046,112,52,2640,26940,240,0,0,56580,1.125,0,81.0,82.0,65.0,None,94,96.0,88.0,80.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
27,2022-01-26,70.0,61.0,64.0,97.0,69.0,70.0,83.0,73.0,6.366666666666666,29160.0,6240.0,1.3583333333333334,10950.0,7080.0,26,79.0,540.0,12660.0,0.35,8.45,52.14,46.0,60.0,-0.41,-0.14,11.625,51,100,100,1,1,7,25,2074,509,398,3240,29700,1440,0,0,52020,1.125,0,73.0,69.0,64.0,None,94,91.0,96.0,80.0,34.0,,,,11.0,46,112,70.51,,5922,4.98
28,2022-01-27,72.0,65.0,66.0,96.0,67.0,67.0,97.0,70.0,6.675,30720.0,6690.0,1.3916666666666666,12090.0,6930.0,35,78.0,870.0,14340.0,0.0,8.53,51.12,45.0,64.0,-0.11,-0.06,11.625,51,100,100,1,1,8,54,2131,1086,789,6540,28440,2700,180,0,48540,1.15625,0,80.0,72.0,63.0,None,95,100.0,88.0,82.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
29,2022-01-28,70.0,69.0,71.0,96.0,65.0,53.0,91.0,50.0,7.0,32640.0,7440.0,1.4916666666666667,13080.0,6750.0,43,77.0,1080.0,16680.0,0.0,9.07,51.17,45.0,62.0,-0.06,0.03,11.75,55,100,100,1,1,36,354,2559,4048,5560,15180,28560,15360,2280,0,25020,1.375,0,77.0,69.0,64.0,None,95,100.0,100.0,83.0,56.0,,,,11.0,46,112,70.51,,5922,4.98
30,2022-01-29,68.0,71.0,56.0,90.0,79.0,52.0,97.0,31.0,7.091666666666667,30720.0,5190.0,1.1916666666666667,15300.0,5940.0,46,83.0,840.0,14580.0,1.22,9.75,53.64,48.0,67.0,-0.19,0.06,12.125,55,100,100,1,1,33,3,2033,90,19,1560,31020,240,0,0,53580,1.09375,0,77.0,66.0,65.0,98,98,99.0,69.0,85.0,79.0,,,,11.0,46,112,70.51,,5922,4.98
31,2022-01-30,70.0,79.0,75.0,97.0,72.0,53.0,75.0,27.0,7.683333333333334,34500.0,6840.0,1.5833333333333333,14520.0,7440.0,40,80.0,360.0,16110.0,0.93,10.52,50.98,46.0,69.0,0.04,0.13,12.0,66,100,100,1,40,79,445,2530,1258,6508,16200,36360,4560,60,1800,27420,1.34375,0,83.0,69.0,69.0,None,98,100.0,96.0,87.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
32,2022-01-31,71.0,71.0,58.0,97.0,83.0,63.0,67.0,59.0,7.125,30120.0,4470.0,1.225,14190.0,7050.0,34,85.0,180.0,14700.0,0.27,8.63,53.55,49.0,66.0,-0.08,0.14,12.125,65,100,100,1,40,73,34,2077,608,594,2460,28440,960,300,0,54240,1.125,0,79.0,70.0,70.0,81,96,100.0,70.0,87.0,94.0,,,,11.0,46,112,70.51,,5922,4.98
33,2022-02-01,64.0,72.0,48.0,74.0,44.0,59.0,97.0,38.0,7.158333333333333,37680.0,11910.0,1.0333333333333334,17160.0,4890.0,39,68.0,930.0,17490.0,0.17,10.63,52.6,48.0,64.0,-0.22,0.07,12.0,64,100,100,1,40,63,38,2074,842,538,5700,41580,2880,60,0,36180,1.09375,0,80.0,59.0,71.0,None,99,97.0,80.0,87.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
34,2022-02-02,70.0,77.0,66.0,49.0,76.0,57.0,75.0,78.0,7.583333333333333,33480.0,6180.0,1.3916666666666666,19020.0,3270.0,39,82.0,390.0,16110.0,-0.77,8.53,52.08,47.0,62.0,0.01,0.09,12.0,61,100,95,1,40,52,38,2106,684,457,12360,31980,2040,120,0,39900,1.125,1,82.0,69.0,74.0,None,100,100.0,80.0,87.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
35,2022-02-03,67.0,72.0,84.0,81.0,67.0,64.0,20.0,70.0,7.191666666666666,33300.0,7410.0,1.7666666666666666,14220.0,5310.0,32,78.0,2880.0,16890.0,-0.73,8.52,50.58,44.0,57.0,-0.12,0.09,11.75,60,100,100,1,40,40,34,2102,621,524,4200,24720,1980,60,0,55440,1.15625,0,79.0,64.0,75.0,None,98,100.0,100.0,85.0,53.0,,,,11.0,46,112,70.51,,5922,4.98
36,2022-02-04,72.0,76.0,80.0,95.0,81.0,64.0,83.0,21.0,7.466666666666667,31980.0,5100.0,1.675,14610.0,6240.0,33,84.0,1260.0,16110.0,1.32,10.2,50.33,45.0,59.0,-0.06,0.09,12.25,58,100,100,1,40,26,10,2055,252,131,5580,32520,720,0,0,47580,1.09375,0,84.0,72.0,77.0,None,98,100.0,88.0,84.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
37,2022-02-05,58.0,57.0,42.0,59.0,55.0,59.0,94.0,42.0,6.1,30120.0,8160.0,0.9,14850.0,3870.0,36,73.0,810.0,13650.0,1.12,9.48,52.12,48.0,59.0,-0.22,0.03,12.375,56,100,95,1,40,18,45,2105,916,715,10500,31080,1560,300,0,42960,1.125,1,78.0,50.0,71.0,100,92,97.0,79.0,82.0,93.0,,,,11.0,46,112,70.51,,5922,4.98
38,2022-02-06,71.0,86.0,80.0,72.0,72.0,52.0,91.0,20.0,8.225,37020.0,7410.0,1.675,18840.0,4740.0,46,80.0,720.0,17820.0,0.97,11.25,52.53,46.0,64.0,0.23,0.16,11.75,51,100,100,1,1,7,48,2114,949,581,9300,36180,3180,0,0,37740,1.125,0,82.0,70.0,76.0,None,97,85.0,79.0,83.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
39,2022-02-07,47.0,46.0,20.0,55.0,53.0,48.0,81.0,33.0,5.291666666666667,26400.0,7350.0,0.45,13770.0,3660.0,47,72.0,480.0,14430.0,1.18,8.52,52.29,48.0,57.0,-0.03,0.19,13.5,51,100,100,1,1,8,21,2065,450,308,5220,29880,840,120,0,50340,1.125,0,62.0,32.0,66.0,None,96,100.0,70.0,80.0,25.0,,,,11.0,46,112,70.51,,5922,4.98
40,2022-02-08,67.0,68.0,64.0,77.0,65.0,61.0,64.0,66.0,6.916666666666667,32460.0,7560.0,1.3416666666666666,14970.0,5100.0,37,77.0,1650.0,15420.0,-0.18,8.83,55.84,50.0,55.0,-0.15,0.12,12.0,51,100,100,1,1,9,32,2072,637,578,3420,31320,1080,180,0,50400,1.125,0,72.0,64.0,65.0,100,90,100.0,62.0,77.0,67.0,,,,11.0,46,112,70.51,,5922,4.98
41,2022-02-09,65.0,63.0,52.0,78.0,60.0,55.0,78.0,76.0,6.541666666666667,31380.0,7830.0,1.1166666666666667,14370.0,5160.0,39,75.0,450.0,14100.0,-0.15,8.57,52.42,46.0,59.0,-0.21,0.01,12.0,51,100,100,1,1,7,11,2054,243,187,1980,28680,480,0,0,55260,1.125,0,75.0,61.0,63.0,None,96,98.0,90.0,76.0,77.0,,,,11.0,46,112,70.51,,5922,4.98
42,2022-02-10,66.0,71.0,61.0,73.0,65.0,62.0,72.0,51.0,7.116666666666666,33420.0,7800.0,1.3,16170.0,4770.0,37,77.0,300.0,15930.0,0.18,9.47,54.03,48.0,53.0,-0.08,0.01,12.125,72,100,95,25,40,81,548,2613,515,8040,9000,34260,1320,120,2400,39300,1.40625,1,74.0,62.0,64.0,None,96,100.0,81.0,73.0,86.0,,,,11.0,46,112,70.51,,5922,4.98
43,2022-02-11,70.0,73.0,72.0,72.0,67.0,55.0,97.0,56.0,7.258333333333334,33360.0,7230.0,1.5083333333333333,15990.0,4710.0,38,78.0,840.0,16890.0,-0.25,9.02,55.65,51.0,52.0,-0.07,0.04,11.875,70,80,95,25,40,91,314,2531,7011,5111,30420,26880,14340,1620,60,13080,1.375,1,70.0,69.0,65.0,None,99,100.0,54.0,69.0,82.0,,,,11.0,46,112,70.51,,5922,4.98
44,2022-02-12,54.0,68.0,63.0,60.0,55.0,55.0,29.0,16.0,6.883333333333334,33720.0,8940.0,1.325,16050.0,3960.0,41,73.0,2430.0,16470.0,1.72,11.08,57.41,50.0,49.0,0.47,0.28,12.25,72,100,100,25,40,85,133,2236,2776,2104,16560,36000,7560,360,0,25920,1.1875,0,60.0,43.0,65.0,89,97,65.0,38.0,64.0,100.0,,,,11.0,46,112,70.51,,5922,4.98
